1 s a t u
2 d u a 
3 t i g a
4 ə m p a t
5 l i m a
6 ə n a m
7 t u d ʒ u h
8 d ə l a p a n
9 s ə m b i l a n
10 s ə p u l u h
11 s ə b ə l a s
21 d u a p u l u h s a t u
29 d u a p u l u h s ə m b i l a n
30 t i g a p u l u h
100 s ə r a t u s
15 l i m a b ə l a s
1879 d ə l a p a n b ə l a s t u d ʒ u h p u l u h s ə m b i l a n
andaman	a n d a m a n 
andam	a n d a m 
andan	a n d a n 
andang	a n d a ŋ 
andapita	a n d a p i t a 
andar	a n d a r 
andeng	a n d ə ŋ 
anderak	a n d ə r a ʔ 
andésit	a n d e s i t 
andéwi	a n d e w i 
andika	a n d i k a 
andiko	a n d i k o 
andil	a n d i l 
andilau	a n d i l a u 
andok	a n d o ʔ 
andong	a n d o ŋ 
andrawina	a n d r a w i n a 
androgén	a n d r o g e n 
andrologi	a n d r o l o g i 
anduhan	a n d u h a n 
anduh	a n d u h 
andun	a n d u n 
andung	a n d u ŋ 
andur	a n d u r 
anéh	a n e h 
anéhnya	a n e h ɲ a 
anéka	a n e k a 
anéksasi	a n e ʔ s a s i 
anémer	a n e m ə r 
anéstési	a n e s t e s i 
anéstésiolog	a n e s t e s i o l o g 
anfas	a n f a s 
angah	a ŋ a h 
angan	a ŋ a n 
angankan	a ŋ a n k a n 
angannya	a ŋ a n ɲ a 
angél	a ŋ e l 
angel	a ŋ ə l 
angga	a ŋ g a 
anggai	a ŋ g a i 
anggak	a ŋ g a ʔ 
anggal	a ŋ g a l 
anggan	a ŋ g a n 
anggapan	a ŋ g a p a n 
anggap	a ŋ g a p 
anggara	a ŋ g a r a 
anggaran	a ŋ g a r a n 
anggar	a ŋ g a r 
anggarannya	a ŋ g a r a n ɲ a 
anggerka	a ŋ g ə r k a 
anggitan	a ŋ g i t a n 
anggit	a ŋ g i t 
angglap	a ŋ g l a p 
anggota	a ŋ g o t a 
anggrék	a ŋ g r e ʔ 
anggrékwan	a ŋ g r e ʔ w a n 
angguh	a ŋ g u h 
anggukan	a ŋ g u k a n 
angguk	a ŋ g u ʔ 
anggul	a ŋ g u l 
anggun	a ŋ g u n 
anggung	a ŋ g u ŋ 
angguran	a ŋ g u r a n 
anggur	a ŋ g u r 
anggut	a ŋ g u t 
anghun	a ŋ h u n 
angina	a ŋ i n a 
angin	a ŋ i n 
angit	a ŋ i t 
angka	a ŋ k a 
angkak	a ŋ k a ʔ 
angkal	a ŋ k a l 
angkanya	a ŋ k a ɲ a 
angkara	a ŋ k a r a 
angkasa	a ŋ k a s a 
angkasawan	a ŋ k a s a w a n 
angkasawati	a ŋ k a s a w a t i 
angkatan	a ŋ k a t a n 
angkat	a ŋ k a t 
angkatnya	a ŋ k a t ɲ a 
angkél	a ŋ k e l 
angker	a ŋ k ə r 
angkét	a ŋ k e t 
angkin	a ŋ k i n 
angkit	a ŋ k i t 
angklung	a ŋ ʔ l u ŋ 
angkong	a ŋ k o ŋ 
angkringan	a ŋ ʔ r i ŋ a n 
angkring	a ŋ ʔ r i ŋ 
angku	a ŋ k u 
angkuh	a ŋ k u h 
angkuk	a ŋ k u ʔ 
angkup	a ŋ k u p 
angkur	a ŋ k u r 
angkutan	a ŋ k u t a n 
angkut	a ŋ k u t 
anglap	a ŋ l a p 
angler	a ŋ l ə r 
anglo	a ŋ l o 
anglong	a ŋ l o ŋ 
anglung	a ŋ l u ŋ 
angonan	a ŋ o n a n 
angon	a ŋ o n 
angop	a ŋ o p 
angot	a ŋ o t 
angpau	a ŋ p a u 
angsa	a ŋ s a 
angsana	a ŋ s a n a 
angsoka	a ŋ s o k a 
angsu	a ŋ s u 
angsuran	a ŋ s u r a n 
